レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,レシート金額,商品名,購入商品数,商品順,単品購入,朝の購入,昼の購入,夜の購入,平日,土日,若年層,中年層,高年層,低額,中額,高額,カテゴリ,商品単価
R0334,北区,女性,20代,火,2024/02/10,18:15,夜,780,パン,3,1,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,210
R0334,北区,女性,20代,火,2024/02/10,18:15,夜,780,牛乳,3,2,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,330
R0334,北区,女性,20代,火,2024/02/10,18:15,夜,780,卵,3,3,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,240
R0335,北区,女性,20代,月,2024/11/11,21:25,夜,910,ジュース,4,1,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0335,北区,女性,20代,月,2024/11/11,21:25,夜,910,サンドイッチ,4,2,0,0,0,1,1,0,1,0,0,0,0,1,インスタント食品,450
R0335,北区,女性,20代,月,2024/11/11,21:25,夜,910,コーヒー,4,3,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0335,北区,女性,20代,月,2024/11/11,21:25,夜,910,お茶,4,4,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,120
R0336,北区,女性,30代,火,2024/05/17,16:54,昼,330,トイレットペーパー,1,1,1,0,1,0,1,0,0,1,0,1,0,0,掃除・衛生用品,330
R0337,北区,女性,40代,木,2024/11/25,22:47,夜,960,歯ブラシ,4,1,0,0,0,1,1,0,0,1,0,0,0,1,パーソナルケア,300
R0337,北区,女性,40代,木,2024/11/25,22:47,夜,960,ティッシュ,4,2,0,0,0,1,1,0,0,1,0,0,0,1,掃除・衛生用品,390
R0337,北区,女性,40代,木,2024/11/25,22:47,夜,960,洗剤,4,3,0,0,0,1,1,0,0,1,0,0,0,1,掃除・衛生用品,150
R0337,北区,女性,40代,木,2024/11/25,22:47,夜,960,お茶,4,4,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,120
R0338,北区,女性,30代,月,2024/12/03,08:08,朝,950,シャンプー,4,1,0,1,0,0,1,0,0,1,0,0,0,1,パーソナルケア,110
R0338,北区,女性,30代,月,2024/12/03,08:08,朝,950,ティッシュ,4,2,0,1,0,0,1,0,0,1,0,0,0,1,掃除・衛生用品,390
R0338,北区,女性,30代,月,2024/12/03,08:08,朝,950,洗剤,4,3,0,1,0,0,1,0,0,1,0,0,0,1,掃除・衛生用品,150
R0338,北区,女性,30代,月,2024/12/03,08:08,朝,950,歯ブラシ,4,4,0,1,0,0,1,0,0,1,0,0,0,1,パーソナルケア,300
R0339,北区,女性,40代,金,2024/01/07,21:52,夜,150,洗剤,1,1,1,0,0,1,1,0,0,1,0,1,0,0,掃除・衛生用品,150
R0340,北区,女性,20代,水,2024/05/30,13:49,昼,410,シャンプー,2,1,0,0,1,0,1,0,1,0,0,1,0,0,パーソナルケア,110
R0340,北区,女性,20代,水,2024/05/30,13:49,昼,410,歯ブラシ,2,2,0,0,1,0,1,0,1,0,0,1,0,0,パーソナルケア,300
R0341,北区,男性,10代,水,2024/12/02,16:42,昼,1250,ティッシュ,4,1,0,0,1,0,1,0,1,0,0,0,0,1,掃除・衛生用品,390
R0341,北区,男性,10代,水,2024/12/02,16:42,昼,1250,歯ブラシ,4,2,0,0,1,0,1,0,1,0,0,0,0,1,パーソナルケア,300
R0341,北区,男性,10代,水,2024/12/02,16:42,昼,1250,シャンプー,4,3,0,0,1,0,1,0,1,0,0,0,0,1,パーソナルケア,110
R0341,北区,男性,10代,水,2024/12/02,16:42,昼,1250,サンドイッチ,4,4,0,0,1,0,1,0,1,0,0,0,0,1,インスタント食品,450
R0342,北区,女性,20代,火,2024/04/08,22:19,夜,110,シャンプー,1,1,1,0,0,1,1,0,1,0,0,1,0,0,パーソナルケア,110
R0343,北区,男性,60代以上,金,2024/09/03,12:50,昼,480,洗剤,2,1,0,0,1,0,1,0,0,0,1,1,0,0,掃除・衛生用品,150
R0343,北区,男性,60代以上,金,2024/09/03,12:50,昼,480,トイレットペーパー,2,2,0,0,1,0,1,0,0,0,1,1,0,0,掃除・衛生用品,330
R0344,北区,男性,30代,水,2024/06/26,14:04,昼,350,おにぎり,2,1,0,0,1,0,1,0,0,1,0,0,1,0,主食・基本食品,140
R0344,北区,男性,30代,水,2024/06/26,14:04,昼,350,パン,2,2,0,0,1,0,1,0,0,1,0,0,1,0,主食・基本食品,210
R0345,北区,女性,20代,日,2024/09/03,16:05,昼,830,シャンプー,3,1,0,0,1,0,0,1,1,0,0,0,0,1,パーソナルケア,110
R0345,北区,女性,20代,日,2024/09/03,16:05,昼,830,トイレットペーパー,3,2,0,0,1,0,0,1,1,0,0,0,0,1,掃除・衛生用品,330
R0345,北区,女性,20代,日,2024/09/03,16:05,昼,830,ティッシュ,3,3,0,0,1,0,0,1,1,0,0,0,0,1,掃除・衛生用品,390
R0346,北区,男性,60代以上,水,2024/06/11,07:49,朝,110,シャンプー,1,1,1,1,0,0,1,0,0,0,1,1,0,0,パーソナルケア,110
R0347,北区,男性,20代,火,2024/01/02,11:30,昼,660,ティッシュ,2,1,0,0,1,0,1,0,1,0,0,0,1,0,掃除・衛生用品,390
R0347,北区,男性,20代,火,2024/01/02,11:30,昼,660,フルーツ,2,2,0,0,1,0,1,0,1,0,0,0,1,0,健康食品,270
R0348,北区,男性,50代,日,2024/06/27,11:47,昼,110,シャンプー,1,1,1,0,1,0,0,1,0,0,1,1,0,0,パーソナルケア,110
R0349,北区,女性,40代,土,2024/05/04,08:29,朝,950,洗剤,4,1,0,1,0,0,0,1,0,1,0,0,0,1,掃除・衛生用品,150
R0349,北区,女性,40代,土,2024/05/04,08:29,朝,950,シャンプー,4,2,0,1,0,0,0,1,0,1,0,0,0,1,パーソナルケア,110
R0349,北区,女性,40代,土,2024/05/04,08:29,朝,950,歯ブラシ,4,3,0,1,0,0,0,1,0,1,0,0,0,1,パーソナルケア,300
R0349,北区,女性,40代,土,2024/05/04,08:29,朝,950,ティッシュ,4,4,0,1,0,0,0,1,0,1,0,0,0,1,掃除・衛生用品,390
R0350,北区,女性,50代,日,2024/02/08,08:49,朝,150,洗剤,1,1,1,1,0,0,0,1,0,0,1,1,0,0,掃除・衛生用品,150
R0351,北区,男性,60代以上,日,2024/11/15,10:12,朝,590,おにぎり,3,1,0,1,0,0,0,1,0,0,1,0,0,1,主食・基本食品,140
R0351,北区,男性,60代以上,日,2024/11/15,10:12,朝,590,卵,3,2,0,1,0,0,0,1,0,0,1,0,0,1,主食・基本食品,240
R0351,北区,男性,60代以上,日,2024/11/15,10:12,朝,590,パン,3,3,0,1,0,0,0,1,0,0,1,0,0,1,主食・基本食品,210
R0352,北区,女性,10代,木,2024/07/26,17:27,夜,1300,コーヒー,4,1,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0352,北区,女性,10代,木,2024/07/26,17:27,夜,1300,ジュース,4,2,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0352,北区,女性,10代,木,2024/07/26,17:27,夜,1300,サンドイッチ,4,3,0,0,0,1,1,0,1,0,0,0,0,1,インスタント食品,450
R0352,北区,女性,10代,木,2024/07/26,17:27,夜,1300,弁当,4,4,0,0,0,1,1,0,1,0,0,0,0,1,主食・基本食品,510
R0353,北区,女性,50代,土,2024/05/14,22:32,夜,780,トイレットペーパー,3,1,0,0,0,1,0,1,0,0,1,0,1,0,掃除・衛生用品,330
R0353,北区,女性,50代,土,2024/05/14,22:32,夜,780,歯ブラシ,3,2,0,0,0,1,0,1,0,0,1,0,1,0,パーソナルケア,300
R0353,北区,女性,50代,土,2024/05/14,22:32,夜,780,洗剤,3,3,0,0,0,1,0,1,0,0,1,0,1,0,掃除・衛生用品,150
R0354,北区,女性,50代,土,2024/04/26,14:09,昼,660,洗剤,2,1,0,0,1,0,0,1,0,0,1,1,0,0,掃除・衛生用品,150
R0354,北区,女性,50代,土,2024/04/26,14:09,昼,660,弁当,2,2,0,0,1,0,0,1,0,0,1,1,0,0,主食・基本食品,510
R0355,北区,男性,20代,土,2024/04/22,19:52,夜,910,お茶,4,1,0,0,0,1,0,1,1,0,0,0,0,1,飲み物,120
R0355,北区,男性,20代,土,2024/04/22,19:52,夜,910,コーヒー,4,2,0,0,0,1,0,1,1,0,0,0,0,1,飲み物,170
R0355,北区,男性,20代,土,2024/04/22,19:52,夜,910,サンドイッチ,4,3,0,0,0,1,0,1,1,0,0,0,0,1,インスタント食品,450
R0355,北区,男性,20代,土,2024/04/22,19:52,夜,910,ジュース,4,4,0,0,0,1,0,1,1,0,0,0,0,1,飲み物,170
R0356,北区,男性,40代,木,2024/08/25,21:22,夜,150,洗剤,1,1,1,0,0,1,1,0,0,1,0,1,0,0,掃除・衛生用品,150
R0357,北区,女性,60代以上,日,2024/12/22,17:49,夜,260,アイス,2,1,0,0,0,1,0,1,0,0,1,0,1,0,お菓子・スナック,150
R0357,北区,女性,60代以上,日,2024/12/22,17:49,夜,260,ポテトチップス,2,2,0,0,0,1,0,1,0,0,1,0,1,0,お菓子・スナック,110
R0358,北区,女性,60代以上,木,2024/07/06,17:54,夜,330,牛乳,1,1,1,0,0,1,1,0,0,0,1,1,0,0,主食・基本食品,330
R0359,北区,女性,20代,火,2024/10/10,19:57,夜,830,コーヒー,4,1,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0359,北区,女性,20代,火,2024/10/10,19:57,夜,830,ジュース,4,2,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,170
R0359,北区,女性,20代,火,2024/10/10,19:57,夜,830,お茶,4,3,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,120
R0359,北区,女性,20代,火,2024/10/10,19:57,夜,830,ガム,4,4,0,0,0,1,1,0,1,0,0,0,0,1,お菓子・スナック,370
R0360,北区,女性,60代以上,木,2024/08/30,15:54,昼,680,牛乳,3,1,0,0,1,0,1,0,0,0,1,0,1,0,主食・基本食品,330
R0360,北区,女性,60代以上,木,2024/08/30,15:54,昼,680,パン,3,2,0,0,1,0,1,0,0,0,1,0,1,0,主食・基本食品,210
R0360,北区,女性,60代以上,木,2024/08/30,15:54,昼,680,おにぎり,3,3,0,0,1,0,1,0,0,0,1,0,1,0,主食・基本食品,140
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1260,サンドイッチ,5,1,0,0,1,0,0,1,1,0,0,0,0,1,インスタント食品,450
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1260,ジュース,5,2,0,0,1,0,0,1,1,0,0,0,0,1,飲み物,170
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1260,コーヒー,5,3,0,0,1,0,0,1,1,0,0,0,0,1,飲み物,170
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1260,お茶,5,4,0,0,1,0,0,1,1,0,0,0,0,1,飲み物,120
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1260,キャンディ,5,5,0,0,1,0,0,1,1,0,0,0,0,1,お菓子・スナック,350
R0362,北区,女性,10代,水,2024/03/18,22:13,夜,170,コーヒー,1,1,1,0,0,1,1,0,1,0,0,1,0,0,飲み物,170
R0363,北区,男性,40代,月,2024/03/01,14:09,昼,450,サンドイッチ,1,1,1,0,1,0,1,0,0,1,0,1,0,0,インスタント食品,450
R0364,北区,女性,40代,土,2024/09/04,13:18,昼,950,歯ブラシ,4,1,0,0,1,0,0,1,0,1,0,0,1,0,パーソナルケア,300
R0364,北区,女性,40代,土,2024/09/04,13:18,昼,950,洗剤,4,2,0,0,1,0,0,1,0,1,0,0,1,0,掃除・衛生用品,150
R0364,北区,女性,40代,土,2024/09/04,13:18,昼,950,シャンプー,4,3,0,0,1,0,0,1,0,1,0,0,1,0,パーソナルケア,110
R0364,北区,女性,40代,土,2024/09/04,13:18,昼,950,ティッシュ,4,4,0,0,1,0,0,1,0,1,0,0,1,0,掃除・衛生用品,390
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1450,弁当,5,1,0,0,0,1,0,1,0,1,0,0,0,1,主食・基本食品,510
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1450,カップ麺,5,2,0,0,0,1,0,1,0,1,0,0,0,1,インスタント食品,180
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1450,肉まん,5,3,0,0,0,1,0,1,0,1,0,0,0,1,インスタント食品,190
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1450,冷凍食品,5,4,0,0,0,1,0,1,0,1,0,0,0,1,インスタント食品,300
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1450,フルーツ,5,5,0,0,0,1,0,1,0,1,0,0,0,1,健康食品,270
R0366,北区,男性,30代,火,2024/03/22,14:12,昼,920,洗剤,4,1,0,0,1,0,1,0,0,1,0,0,0,1,掃除・衛生用品,150
R0366,北区,男性,30代,火,2024/03/22,14:12,昼,920,歯ブラシ,4,2,0,0,1,0,1,0,0,1,0,0,0,1,パーソナルケア,300
R0366,北区,男性,30代,火,2024/03/22,14:12,昼,920,トイレットペーパー,4,3,0,0,1,0,1,0,0,1,0,0,0,1,掃除・衛生用品,330
R0366,北区,男性,30代,火,2024/03/22,14:12,昼,920,おにぎり,4,4,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,140
R0367,北区,男性,20代,木,2024/03/27,16:42,昼,290,コーヒー,2,1,0,0,1,0,1,0,1,0,0,0,1,0,飲み物,170
R0367,北区,男性,20代,木,2024/03/27,16:42,昼,290,お茶,2,2,0,0,1,0,1,0,1,0,0,0,1,0,飲み物,120
R0368,北区,女性,50代,日,2024/05/15,11:01,昼,300,歯ブラシ,1,1,1,0,1,0,0,1,0,0,1,1,0,0,パーソナルケア,300
R0369,北区,女性,50代,日,2024/01/28,13:47,昼,590,おにぎり,3,1,0,0,1,0,0,1,0,0,1,0,0,1,主食・基本食品,140
R0369,北区,女性,50代,日,2024/01/28,13:47,昼,590,卵,3,2,0,0,1,0,0,1,0,0,1,0,0,1,主食・基本食品,240
R0369,北区,女性,50代,日,2024/01/28,13:47,昼,590,パン,3,3,0,0,1,0,0,1,0,0,1,0,0,1,主食・基本食品,210
R0370,北区,女性,60代以上,日,2024/09/16,11:57,昼,790,ジュース,3,1,0,0,1,0,0,1,0,0,1,0,1,0,飲み物,170
R0370,北区,女性,60代以上,日,2024/09/16,11:57,昼,790,コーヒー,3,2,0,0,1,0,0,1,0,0,1,0,1,0,飲み物,170
R0370,北区,女性,60代以上,日,2024/09/16,11:57,昼,790,サンドイッチ,3,3,0,0,1,0,0,1,0,0,1,0,1,0,インスタント食品,450
R0371,北区,男性,60代以上,木,2024/11/28,15:29,昼,650,洗剤,3,1,0,0,1,0,1,0,0,0,1,0,1,0,掃除・衛生用品,150
R0371,北区,男性,60代以上,木,2024/11/28,15:29,昼,650,ティッシュ,3,2,0,0,1,0,1,0,0,0,1,0,1,0,掃除・衛生用品,390
R0371,北区,男性,60代以上,木,2024/11/28,15:29,昼,650,シャンプー,3,3,0,0,1,0,1,0,0,0,1,0,1,0,パーソナルケア,110
R0372,北区,女性,30代,火,2024/11/26,21:14,夜,700,肉まん,2,1,0,0,0,1,1,0,0,1,0,0,1,0,インスタント食品,190
R0372,北区,女性,30代,火,2024/11/26,21:14,夜,700,弁当,2,2,0,0,0,1,1,0,0,1,0,0,1,0,主食・基本食品,510
R0373,北区,女性,40代,金,2024/07/15,12:31,昼,330,牛乳,1,1,1,0,1,0,1,0,0,1,0,1,0,0,主食・基本食品,330
R0374,北区,男性,30代,土,2024/10/04,12:33,昼,550,シャンプー,3,1,0,0,1,0,0,1,0,1,0,0,1,0,パーソナルケア,110
R0374,北区,男性,30代,土,2024/10/04,12:33,昼,550,トイレットペーパー,3,2,0,0,1,0,0,1,0,1,0,0,1,0,掃除・衛生用品,330
R0374,北区,男性,30代,土,2024/10/04,12:33,昼,550,ポテトチップス,3,3,0,0,1,0,0,1,0,1,0,0,1,0,お菓子・スナック,110
R0375,北区,男性,10代,土,2024/07/24,08:39,朝,620,おにぎり,3,1,0,1,0,0,0,1,1,0,0,0,1,0,主食・基本食品,140
R0375,北区,男性,10代,土,2024/07/24,08:39,朝,620,牛乳,3,2,0,1,0,0,0,1,1,0,0,0,1,0,主食・基本食品,330
R0375,北区,男性,10代,土,2024/07/24,08:39,朝,620,洗剤,3,3,0,1,0,0,0,1,1,0,0,0,1,0,掃除・衛生用品,150
R0376,北区,男性,30代,火,2024/07/27,20:33,夜,510,トイレットペーパー,2,1,0,0,0,1,1,0,0,1,0,0,1,0,掃除・衛生用品,330
R0376,北区,男性,30代,火,2024/07/27,20:33,夜,510,野菜ジュース,2,2,0,0,0,1,1,0,0,1,0,0,1,0,飲み物,180
R0377,北区,男性,30代,木,2024/11/21,12:40,昼,590,卵,3,1,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,240
R0377,北区,男性,30代,木,2024/11/21,12:40,昼,590,パン,3,2,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,210
R0377,北区,男性,30代,木,2024/11/21,12:40,昼,590,おにぎり,3,3,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,140
R0378,北区,男性,60代以上,木,2024/01/31,14:39,昼,590,シャンプー,3,1,0,0,1,0,1,0,0,0,1,0,1,0,パーソナルケア,110
R0378,北区,男性,60代以上,木,2024/01/31,14:39,昼,590,トイレットペーパー,3,2,0,0,1,0,1,0,0,0,1,0,1,0,掃除・衛生用品,330
R0378,北区,男性,60代以上,木,2024/01/31,14:39,昼,590,洗剤,3,3,0,0,1,0,1,0,0,0,1,0,1,0,掃除・衛生用品,150
R0379,北区,男性,30代,月,2024/07/10,14:43,昼,590,卵,3,1,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,240
R0379,北区,男性,30代,月,2024/07/10,14:43,昼,590,おにぎり,3,2,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,140
R0379,北区,男性,30代,月,2024/07/10,14:43,昼,590,パン,3,3,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,210
R0380,北区,女性,20代,木,2024/07/06,11:50,昼,110,シャンプー,1,1,1,0,1,0,1,0,1,0,0,1,0,0,パーソナルケア,110
R0381,北区,男性,30代,金,2024/10/16,16:36,昼,460,ジュース,3,1,0,0,1,0,1,0,0,1,0,0,1,0,飲み物,170
R0381,北区,男性,30代,金,2024/10/16,16:36,昼,460,コーヒー,3,2,0,0,1,0,1,0,0,1,0,0,1,0,飲み物,170
R0381,北区,男性,30代,金,2024/10/16,16:36,昼,460,お茶,3,3,0,0,1,0,1,0,0,1,0,0,1,0,飲み物,120
R0382,北区,女性,60代以上,月,2024/09/15,11:24,昼,390,ティッシュ,1,1,1,0,1,0,1,0,0,0,1,1,0,0,掃除・衛生用品,390
R0383,北区,女性,40代,木,2024/05/14,13:46,昼,780,牛乳,3,1,0,0,1,0,1,0,0,1,0,0,1,0,主食・基本食品,330
R0383,北区,女性,40代,木,2024/05/14,13:46,昼,780,パン,3,2,0,0,1,0,1,0,0,1,0,0,1,0,主食・基本食品,210
R0383,北区,女性,40代,木,2024/05/14,13:46,昼,780,卵,3,3,0,0,1,0,1,0,0,1,0,0,1,0,主食・基本食品,240
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,1310,シャンプー,5,1,0,0,0,1,1,0,1,0,0,0,1,0,パーソナルケア,110
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,1310,トイレットペーパー,5,2,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,330
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,1310,歯ブラシ,5,3,0,0,0,1,1,0,1,0,0,0,1,0,パーソナルケア,300
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,1310,ティッシュ,5,4,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,390
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,1310,カップ麺,5,5,0,0,0,1,1,0,1,0,0,0,1,0,インスタント食品,180
R0385,北区,男性,40代,金,2024/02/06,20:55,夜,440,トイレットペーパー,2,1,0,0,0,1,1,0,0,1,0,0,1,0,掃除・衛生用品,330
R0385,北区,男性,40代,金,2024/02/06,20:55,夜,440,シャンプー,2,2,0,0,0,1,1,0,0,1,0,0,1,0,パーソナルケア,110
R0386,北区,女性,40代,日,2024/04/01,15:57,昼,1090,缶コーヒー,4,1,0,0,1,0,0,1,0,1,0,0,0,1,飲み物,100
R0386,北区,女性,40代,日,2024/04/01,15:57,昼,1090,カップ麺,4,2,0,0,1,0,0,1,0,1,0,0,0,1,インスタント食品,180
R0386,北区,女性,40代,日,2024/04/01,15:57,昼,1090,弁当,4,3,0,0,1,0,0,1,0,1,0,0,0,1,主食・基本食品,510
R0386,北区,女性,40代,日,2024/04/01,15:57,昼,1090,冷凍食品,4,4,0,0,1,0,0,1,0,1,0,0,0,1,インスタント食品,300
R0387,北区,女性,40代,火,2024/01/05,08:29,朝,480,冷凍食品,2,1,0,1,0,0,1,0,0,1,0,0,1,0,インスタント食品,300
R0387,北区,女性,40代,火,2024/01/05,08:29,朝,480,カップ麺,2,2,0,1,0,0,1,0,0,1,0,0,1,0,インスタント食品,180
R0388,北区,女性,40代,月,2024/06/01,09:52,朝,740,シャンプー,3,1,0,1,0,0,1,0,0,1,0,0,1,0,パーソナルケア,110
R0388,北区,女性,40代,月,2024/06/01,09:52,朝,740,トイレットペーパー,3,2,0,1,0,0,1,0,0,1,0,0,1,0,掃除・衛生用品,330
R0388,北区,女性,40代,月,2024/06/01,09:52,朝,740,歯ブラシ,3,3,0,1,0,0,1,0,0,1,0,0,1,0,パーソナルケア,300
R0389,北区,女性,10代,水,2024/05/12,07:01,朝,740,トイレットペーパー,3,1,0,1,0,0,1,0,1,0,0,0,1,0,掃除・衛生用品,330
R0389,北区,女性,10代,水,2024/05/12,07:01,朝,740,シャンプー,3,2,0,1,0,0,1,0,1,0,0,0,1,0,パーソナルケア,110
R0389,北区,女性,10代,水,2024/05/12,07:01,朝,740,歯ブラシ,3,3,0,1,0,0,1,0,1,0,0,0,1,0,パーソナルケア,300
R0390,北区,男性,10代,月,2024/12/04,13:08,昼,870,歯ブラシ,3,1,0,0,1,0,1,0,1,0,0,0,1,0,パーソナルケア,300
R0390,北区,男性,10代,月,2024/12/04,13:08,昼,870,ティッシュ,3,2,0,0,1,0,1,0,1,0,0,0,1,0,掃除・衛生用品,390
R0390,北区,男性,10代,月,2024/12/04,13:08,昼,870,野菜ジュース,3,3,0,0,1,0,1,0,1,0,0,0,1,0,飲み物,180
R0391,北区,男性,20代,日,2024/08/02,11:03,昼,720,ジュース,3,1,0,0,1,0,0,1,1,0,0,0,1,0,飲み物,170
R0391,北区,男性,20代,日,2024/08/02,11:03,昼,720,サンドイッチ,3,2,0,0,1,0,0,1,1,0,0,0,1,0,インスタント食品,450
R0391,北区,男性,20代,日,2024/08/02,11:03,昼,720,缶コーヒー,3,3,0,0,1,0,0,1,1,0,0,0,1,0,飲み物,100
R0392,北区,男性,60代以上,木,2024/05/09,21:11,夜,110,シャンプー,1,1,1,0,0,1,1,0,0,0,1,1,0,0,パーソナルケア,110
R0393,北区,男性,50代,火,2024/07/23,19:11,夜,710,おにぎり,3,1,0,0,0,1,1,0,0,0,1,0,1,0,主食・基本食品,140
R0393,北区,男性,50代,火,2024/07/23,19:11,夜,710,牛乳,3,2,0,0,0,1,1,0,0,0,1,0,1,0,主食・基本食品,330
R0393,北区,男性,50代,火,2024/07/23,19:11,夜,710,卵,3,3,0,0,0,1,1,0,0,0,1,0,1,0,主食・基本食品,240
R0394,北区,女性,30代,月,2024/09/01,22:10,夜,960,洗剤,4,1,0,0,0,1,1,0,0,1,0,0,1,0,掃除・衛生用品,150
R0394,北区,女性,30代,月,2024/09/01,22:10,夜,960,トイレットペーパー,4,2,0,0,0,1,1,0,0,1,0,0,1,0,掃除・衛生用品,330
R0394,北区,女性,30代,月,2024/09/01,22:10,夜,960,歯ブラシ,4,3,0,0,0,1,1,0,0,1,0,0,1,0,パーソナルケア,300
R0394,北区,女性,30代,月,2024/09/01,22:10,夜,960,野菜ジュース,4,4,0,0,0,1,1,0,0,1,0,0,1,0,飲み物,180
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1120,お茶,5,1,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,120
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1120,コーヒー,5,2,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,170
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1120,ジュース,5,3,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,170
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1120,サンドイッチ,5,4,0,0,1,0,1,0,0,0,1,0,0,1,インスタント食品,450
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1120,パン,5,5,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,210
R0396,北区,男性,60代以上,土,2024/04/29,07:44,朝,460,お茶,3,1,0,1,0,0,0,1,0,0,1,0,1,0,飲み物,120
R0396,北区,男性,60代以上,土,2024/04/29,07:44,朝,460,コーヒー,3,2,0,1,0,0,0,1,0,0,1,0,1,0,飲み物,170
R0396,北区,男性,60代以上,土,2024/04/29,07:44,朝,460,ジュース,3,3,0,1,0,0,0,1,0,0,1,0,1,0,飲み物,170
R0397,北区,男性,50代,月,2024/06/30,17:17,夜,920,牛乳,4,1,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,330
R0397,北区,男性,50代,月,2024/06/30,17:17,夜,920,パン,4,2,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,210
R0397,北区,男性,50代,月,2024/06/30,17:17,夜,920,おにぎり,4,3,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,140
R0397,北区,男性,50代,月,2024/06/30,17:17,夜,920,卵,4,4,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,240
R0398,北区,女性,10代,日,2024/05/23,19:23,夜,340,コーヒー,2,1,0,0,0,1,0,1,1,0,0,1,0,0,飲み物,170
R0398,北区,女性,10代,日,2024/05/23,19:23,夜,340,ジュース,2,2,0,0,0,1,0,1,1,0,0,1,0,0,飲み物,170
R0399,北区,男性,10代,土,2024/09/22,14:23,昼,150,洗剤,1,1,1,0,1,0,0,1,1,0,0,1,0,0,掃除・衛生用品,150
R0400,北区,男性,60代以上,水,2024/07/29,19:14,夜,950,シャンプー,4,1,0,0,0,1,1,0,0,0,1,0,0,1,パーソナルケア,110
R0400,北区,男性,60代以上,水,2024/07/29,19:14,夜,950,洗剤,4,2,0,0,0,1,1,0,0,0,1,0,0,1,掃除・衛生用品,150
R0400,北区,男性,60代以上,水,2024/07/29,19:14,夜,950,歯ブラシ,4,3,0,0,0,1,1,0,0,0,1,0,0,1,パーソナルケア,300
R0400,北区,男性,60代以上,水,2024/07/29,19:14,夜,950,ティッシュ,4,4,0,0,0,1,1,0,0,0,1,0,0,1,掃除・衛生用品,390
R0401,北区,男性,50代,木,2024/02/15,14:08,昼,450,野菜ジュース,2,1,0,0,1,0,1,0,0,0,1,1,0,0,飲み物,180
R0401,北区,男性,50代,木,2024/02/15,14:08,昼,450,フルーツ,2,2,0,0,1,0,1,0,0,0,1,1,0,0,健康食品,270
R0402,北区,男性,10代,水,2024/08/08,11:59,昼,910,サンドイッチ,4,1,0,0,1,0,1,0,1,0,0,0,1,0,インスタント食品,450
R0402,北区,男性,10代,水,2024/08/08,11:59,昼,910,コーヒー,4,2,0,0,1,0,1,0,1,0,0,0,1,0,飲み物,170
R0402,北区,男性,10代,水,2024/08/08,11:59,昼,910,お茶,4,3,0,0,1,0,1,0,1,0,0,0,1,0,飲み物,120
